<attribute name>,RebalanceFlag,,,,,,,,,,,,,,,,,,,,,
<owner>,quant1,,,,,,,,,,,,,,,,,,,,,
<association>,Portfolio Return,,,,,,,,,,,,,,,,,,,,,
<type>,Real Number,,,,,,,,,,,,,,,,,,,,,
<maximum age>,1 day,,,,,,,,,,,,,,,,,,,,,
<portfolio>,BK_CAE5EST_GEMLT_BTP,,,,,,,,,,,,,,,,,,,,,
<portfolio owner>,quant1,,,,,,,,,,,,,,,,,,,,,
<date>,<value>,<currency>,,,,,,,,,,,,,,,,,,,,
8/29/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
8/30/2017,1,CAD,,,,,,,,,,,,,,,,,,,,
8/31/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/1/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/2/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/3/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/4/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/5/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/6/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/7/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/8/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/9/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/10/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/11/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/12/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/13/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/14/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/15/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/16/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/17/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/18/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/19/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/20/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/21/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/22/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/23/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/24/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/25/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/26/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/27/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/28/2017,1,CAD,,,,,,,,,,,,,,,,,,,,
9/29/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
9/30/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/1/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/2/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/3/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/4/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/5/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/6/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/7/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/8/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/9/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/10/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/11/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/12/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/13/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/14/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/15/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/16/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/17/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/18/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/19/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/20/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/21/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/22/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/23/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/24/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/25/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/26/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/27/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/28/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/29/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
10/30/2017,1,CAD,,,,,,,,,,,,,,,,,,,,
10/31/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/1/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/2/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/3/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/4/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/5/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/6/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/7/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/8/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/9/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/10/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/11/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/12/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/13/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/14/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/15/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/16/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/17/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/18/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/19/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/20/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/21/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/22/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/23/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/24/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/25/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/26/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/27/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/28/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
11/29/2017,1,CAD,,,,,,,,,,,,,,,,,,,,
11/30/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/1/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/2/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/3/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/4/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/5/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/6/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/7/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/8/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/9/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/10/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/11/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/12/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/13/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/14/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/15/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/16/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/17/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/18/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/19/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/20/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/21/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/22/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/23/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/24/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/25/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/26/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/27/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/28/2017,1,CAD,,,,,,,,,,,,,,,,,,,,
12/29/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/30/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
12/31/2017,0,CAD,,,,,,,,,,,,,,,,,,,,
1/1/2018,0,CAD,,,,,,,,,,,,,,,,,,,,
1/2/2018,0,CAD,,,,,,,,,,,,,,,,,,,,
1/3/2018,0,CAD,,,,,,,,,,,,,,,,,,,,
1/4/2018,0,CAD,,,,,,,,,,,,,,,,,,,,
1/5/2018,0,CAD,,,,,,,,,,,,,,,,,,,,
1/6/2018,0,CAD,,,,,,,,,,,,,,,,,,,,
1/7/2018,0,CAD,,,,,,,,,,,,,,,,,,,,
1/8/2018,0,CAD,,,,,,,,,,,,,,,,,,,,
1/9/2018,0,CAD,,,,,,,,,,,,,,,,,,,,
1/10/2018,0,CAD,,,,,,,,,,,,,,,,,,,,
1/11/2018,0,CAD,,,,,,,,,,,,,,,,,,,,
1/12/2018,0,CAD,,,,,,,,,,,,,,,,,,,,
1/13/2018,0,CAD,,,,,,,,,,,,,,,,,,,,
1/14/2018,0,CAD,,,,,,,,,,,,,,,,,,,,
1/15/2018,0,CAD,,,,,,,,,,,,,,,,,,,,
1/16/2018,0,CAD,,,,,,,,,,,,,,,,,,,,
1/17/2018,0,CAD,,,,,,,,,,,,,,,,,,,,
